Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous
33267,24,2,Retired,Tier_2,6653,0,1118,3883,1677,1221,715,2374,1002,1962,525,8,2811,12137,383,370,134,119,149,3,97,144
32744,24,4,Self_Employed,Tier_3,4912,0,1532,4312,2044,1503,934,2262,1296,2870,551,6,2028,10527,874,186,287,276,409,31,29,72
53614,31,0,Self_Employed,Tier_2,10723,4050,1792,7183,3196,2616,1893,2645,2186,0,711,14,7638,16619,815,341,717,399,331,17,0,110
44080,32,3,Retired,Tier_2,8816,8588,957,5622,3271,1087,1283,2425,2003,2523,716,13,5795,6791,474,467,244,187,408,23,9,36
35884,22,2,Self_Employed,Tier_2,7177,3502,1306,5289,2354,1103,1559,1570,1757,2470,1000,7,2642,6796,682,526,183,458,265,78,83,235
15940,54,4,Student,Tier_1,4782,936,766,2115,1069,502,392,952,575,1017,382,10,1558,2451,108,287,103,64,190,24,35,38
43745,21,2,Professional,Tier_2,8749,5499,1576,4736,2295,2067,1180,2968,1937,2211,1301,13,5696,9226,1013,495,225,346,331,66,16,292
135208,47,0,Student,Tier_2,27042,0,3268,13882,7446,5624,4482,9919,4665,0,1742,24,32039,57138,2226,1210,1384,266,2208,10,0,140
88017,37,1,Professional,Tier_3,13203,0,2921,12443,6379,3977,2461,6268,2874,6263,2004,14,12410,29224,1437,1505,1136,206,437,133,119,560
107313,43,1,Student,Tier_2,21463,9294,2488,12298,6959,5029,4436,6618,4254,5628,2963,16,16687,25883,3067,735,341,257,1374,87,203,848
19930,26,2,Professional,Tier_1,5979,3108,749,2966,1093,406,917,1027,615,1395,251,7,1424,1424,521,134,119,274,216,17,65,50
13592,47,0,Student,Tier_2,2718,0,527,1857,682,399,657,1079,675,0,376,10,1299,4621,427,83,93,99,173,12,0,110
27128,61,2,Self_Employed,Tier_2,5426,2894,1083,3112,1647,692,716,1946,1194,2616,452,6,1665,5349,189,121,74,108,184,15,77,60
31368,39,1,Professional,Tier_2,6274,0,677,4629,1879,1558,1343,1926,1087,2102,730,8,2469,9164,763,202,427,272,224,20,15,67
71992,57,2,Retired,Tier_1,21598,0,3272,7417,4425,2212,3522,4520,3125,6068,1594,15,10762,14240,482,1012,143,959,770,100,236,165
7746,58,4,Retired,Tier_2,1549,0,368,968,392,287,270,540,280,426,157,5,406,2509,194,49,59,67,104,11,16,16
101986,61,0,Student,Tier_1,30596,19378,2917,11031,7910,2326,4053,6927,3369,0,1569,18,11910,11910,1434,2038,358,348,1083,161,0,392
26438,47,1,Student,Tier_2,5288,0,1150,3865,1644,969,1260,2043,1303,2465,425,7,1848,6026,1143,329,116,92,162,53,41,38
21321,37,2,Student,Tier_3,3198,2459,736,2167,1538,916,672,971,912,1851,304,9,1822,5596,287,83,270,174,182,31,49,36
13350,45,0,Professional,Tier_1,4005,0,480,1825,747,536,608,699,553,0,255,9,1242,3643,384,118,153,73,191,21,0,68
7983,24,2,Self_Employed,Tier_2,1597,1209,218,1142,404,294,364,548,340,634,183,9,719,1051,119,57,66,64,41,6,24,45
57959,21,1,Retired,Tier_2,11592,0,2715,6600,4170,1525,1246,3596,2121,3841,731,15,8457,19821,1792,342,120,261,548,98,150,77
31812,45,0,Student,Tier_2,6362,0,1551,4341,2451,1286,657,2444,1317,0,386,6,1983,11017,585,490,182,175,467,3,0,21
10689,52,1,Professional,Tier_2,2138,0,424,1116,716,237,215,612,492,745,296,8,818,3699,241,153,13,23,49,3,14,39
10645,50,4,Professional,Tier_2,2129,1888,261,1149,586,253,318,520,525,765,260,7,753,1991,90,97,53,72,34,21,14,48
22933,24,4,Retired,Tier_2,4587,0,826,3393,1626,661,933,986,1066,1685,294,10,2240,6876,256,249,105,192,149,9,59,43
114025,26,3,Retired,Tier_3,17104,20471,3315,12690,8928,3126,3025,6788,4536,6664,2810,23,24566,24566,1987,955,675,627,389,115,120,287
24374,51,0,Self_Employed,Tier_2,4875,3243,817,2793,1925,687,1040,1753,928,0,582,6,1366,5731,769,137,114,90,287,5,0,93
9013,56,4,Retired,Tier_1,2704,0,363,1304,591,283,443,410,403,821,103,6,499,1588,150,137,84,67,55,12,2,9
24646,59,3,Self_Employed,Tier_3,3697,0,545,2825,1860,542,906,1847,906,2309,318,5,1291,8891,217,536,141,226,247,19,101,52
24119,51,0,Self_Employed,Tier_1,7236,0,629,3034,1753,798,917,1699,826,0,609,7,1703,6617,513,89,168,141,348,28,0,141
3468,30,1,Professional,Tier_2,694,0,147,398,212,136,118,159,137,226,50,9,327,1191,20,25,25,25,14,4,6,13
28725,46,2,Professional,Tier_2,5745,4899,607,3898,1787,1107,1144,1898,1316,2358,817,8,2236,3148,687,145,150,304,533,45,49,125
24939,52,2,Self_Employed,Tier_2,4988,0,949,3705,1555,547,778,1543,837,1751,669,5,1253,7616,623,196,91,208,142,19,83,158
52361,62,1,Student,Tier_2,10472,0,1467,5540,2691,1611,1340,2605,2071,3592,1400,13,6611,19571,844,229,173,283,652,47,8,172
131678,27,4,Self_Employed,Tier_1,39504,0,6199,18442,9158,4463,5137,8225,4110,11944,1791,23,22706,22706,2504,2106,1195,1169,1450,183,477,441
73881,47,2,Retired,Tier_2,14776,0,3324,9496,4937,1733,2413,2981,3613,5464,2166,15,10735,22977,2182,1286,403,172,211,49,85,125
24194,61,1,Self_Employed,Tier_2,4839,0,1151,3075,1760,939,707,1003,1104,2240,509,10,2365,6867,449,407,220,170,112,31,20,67
12379,43,3,Self_Employed,Tier_2,2476,0,282,1622,743,521,438,781,491,981,190,7,921,3854,108,62,107,98,200,16,3,48
235070,52,3,Self_Employed,Tier_3,35261,0,11716,33166,12106,4756,11320,11530,10414,16341,6055,18,41246,82406,8380,1225,430,1792,1645,385,618,1264
31455,45,1,Student,Tier_2,6291,0,765,4259,2092,1414,966,1965,968,2522,756,10,3043,9457,341,188,202,61,423,18,62,91
30336,46,0,Student,Tier_1,9101,2645,1399,3798,2264,1160,692,1835,1125,0,550,6,1919,5768,935,366,103,167,449,10,0,103
29427,23,4,Self_Employed,Tier_1,8828,4130,920,2985,2210,593,806,1920,892,2386,734,8,2269,3022,192,269,174,222,307,5,7,112
35151,20,4,Retired,Tier_2,7030,1933,1710,4221,2601,1401,920,1526,1267,3245,996,6,2268,8301,602,372,348,157,374,57,31,283
26728,46,1,Professional,Tier_3,4009,2675,535,3874,1784,1189,1019,1570,1273,2137,770,6,1732,5892,497,369,104,59,176,11,47,97
18959,19,2,Retired,Tier_2,3792,1931,771,2443,1365,878,500,964,758,987,453,6,1174,4116,302,167,105,121,222,22,39,44
19370,39,4,Professional,Tier_2,3874,0,966,2308,1039,676,934,1206,741,1472,328,7,1387,5826,404,162,88,134,164,7,5,33
29224,63,4,Retired,Tier_3,4384,0,1193,3020,1631,897,870,2044,960,2139,813,6,1868,11274,718,418,152,83,276,37,103,72
19423,64,3,Student,Tier_1,5827,0,800,2883,1538,588,674,1143,787,1136,267,5,996,3781,477,100,68,84,58,9,11,73
16961,44,3,Retired,Tier_2,3392,3071,679,1892,1058,376,746,983,735,1199,509,10,1665,2321,382,251,88,67,259,27,50,105
32666,39,3,Self_Employed,Tier_2,6533,3954,1613,4354,2027,904,1426,1500,1543,3029,889,10,3169,4894,671,521,153,314,140,69,114,227
24464,27,4,Professional,Tier_1,7339,0,1016,3172,1280,639,1187,1777,879,1606,667,9,2201,4902,362,186,171,141,292,5,55,118
99922,36,4,Retired,Tier_2,19984,0,3488,10823,6340,3893,4017,4627,3788,5966,2670,13,13218,34325,2592,1775,295,227,809,115,107,193
3598,41,4,Retired,Tier_1,1079,0,99,398,251,90,179,162,151,292,91,8,303,805,25,60,27,46,32,4,2,16
71837,44,2,Retired,Tier_2,14367,0,3111,10561,5188,2944,2096,5091,3242,4777,1143,12,8725,19318,1476,863,606,408,1077,50,106,220
81293,53,2,Student,Tier_2,16259,0,2019,12180,4973,3217,2061,6422,3960,5349,1069,15,11930,23785,3022,808,217,574,1346,49,37,174
5712,60,2,Student,Tier_2,1142,0,125,676,449,196,128,268,279,552,57,9,531,1839,155,76,19,15,67,6,17,11
22807,34,0,Retired,Tier_1,6842,3674,978,2851,1456,467,980,1316,814,0,254,9,1942,3174,518,238,99,116,204,6,0,59
22288,27,4,Student,Tier_2,4458,2689,692,2808,1440,697,526,944,814,1133,574,8,1823,5513,399,184,106,130,178,21,3,89
9730,34,4,Retired,Tier_1,2919,0,257,1034,679,229,404,767,478,673,196,8,780,2094,198,68,18,30,83,1,1,37
16102,61,1,Student,Tier_1,4831,0,693,2394,864,710,750,1063,610,1072,217,8,1288,2898,469,180,159,152,280,21,46,64
12339,27,1,Retired,Tier_2,2468,1198,568,1422,864,563,542,908,488,1177,352,7,902,1789,219,123,142,161,84,10,31,104
121877,27,0,Self_Employed,Tier_1,36563,23269,2823,14863,7424,2596,4611,7353,3801,0,2653,19,15921,15921,1629,642,163,1307,2117,153,0,773
63418,55,1,Student,Tier_1,19025,9113,2058,9137,3224,2178,3066,4325,2787,3248,1028,13,4228,4228,1039,594,488,762,1045,50,45,234
82967,34,2,Retired,Tier_2,16593,0,1718,11212,6088,3514,3709,4895,3859,4682,2057,13,10793,24639,1959,1725,811,426,916,173,4,195
53439,43,0,Professional,Tier_1,16032,0,2396,6134,4178,1565,1153,3131,2662,0,1369,11,6040,14820,459,924,443,266,899,83,0,322
12158,43,0,Self_Employed,Tier_3,1824,1777,246,1254,817,440,381,788,552,0,269,8,933,3809,242,233,121,84,148,14,0,57
19719,51,0,Student,Tier_2,3944,2439,625,2105,1201,884,477,1353,609,0,460,9,1758,5622,140,280,203,112,238,3,0,84
44376,21,3,Retired,Tier_1,13313,0,2089,5304,3146,1441,1376,3336,1989,2665,837,14,6159,8879,1267,715,373,119,752,63,96,132
11285,44,1,Professional,Tier_2,2257,879,423,1379,871,274,467,769,346,667,238,6,638,2716,123,201,25,45,224,4,5,25
53069,38,4,Professional,Tier_3,7960,0,2340,6581,3155,2530,1299,4036,2312,4006,752,11,5981,18098,1531,872,593,310,385,103,148,93
24753,53,3,Professional,Tier_2,4951,0,595,2557,1654,787,1068,1219,903,1428,691,9,2167,8900,187,234,207,314,271,13,53,160
22228,55,2,Self_Employed,Tier_2,4446,0,521,2267,1272,680,681,1121,744,1975,547,8,1789,7975,486,331,198,125,335,18,60,82
52983,63,3,Self_Employed,Tier_2,10597,0,1623,6950,3670,2030,1832,2615,1937,5231,1413,15,7693,15084,784,547,114,539,165,83,59,409
42803,48,2,Professional,Tier_2,8561,0,1720,4627,3155,1920,1287,1891,1759,4003,1059,11,4785,12820,869,228,458,220,336,46,124,63
22475,24,4,Self_Employed,Tier_1,6743,0,560,2985,1268,1102,1107,1427,927,1322,352,9,1956,4683,195,348,221,331,367,41,22,86
75843,61,4,Retired,Tier_1,22753,13291,1666,8154,5054,2964,2324,4227,3642,4324,2243,12,5200,5200,2092,471,797,405,267,67,63,246
12633,51,1,Student,Tier_2,2527,2031,623,1610,699,383,330,811,460,1172,140,9,1112,1848,162,60,40,95,199,9,45,11
49104,35,3,Student,Tier_3,7366,0,1410,5583,3153,1628,1579,2993,1781,3725,984,13,6252,18903,1564,827,270,220,153,33,95,196
48215,41,4,Student,Tier_2,9643,5172,1867,5307,3388,1953,2012,3042,1964,2513,1135,13,6372,10219,860,767,492,270,654,65,22,308
23419,30,2,Self_Employed,Tier_2,4684,0,932,2601,1194,1148,834,1268,1169,1241,314,6,1474,8035,494,245,325,73,275,26,15,46
38943,30,4,Retired,Tier_3,5841,7420,824,4727,2815,1928,1316,1868,1303,2386,934,7,2626,7581,1218,705,327,213,118,48,80,128
11027,42,1,Retired,Tier_1,3308,0,408,1401,669,442,321,742,524,673,231,7,763,2307,399,98,64,31,146,13,12,35
62829,22,2,Self_Employed,Tier_2,12566,6383,1634,8874,4201,1939,2879,4294,2512,3505,1696,14,8636,12347,1423,991,131,313,485,116,87,364
25875,56,0,Self_Employed,Tier_2,5175,0,587,3528,1654,856,612,2000,1217,0,691,7,1695,9554,194,191,105,104,526,31,0,192
19747,46,1,Retired,Tier_1,5924,0,630,2184,1449,951,764,996,908,1641,400,6,1201,3901,434,291,254,160,112,27,52,86
69436,61,1,Retired,Tier_2,13887,0,3040,8453,5019,2908,2777,5102,3048,3597,1859,12,8325,19746,2113,699,739,208,1359,113,175,536
17077,63,0,Professional,Tier_1,5123,0,838,1735,855,515,387,705,516,0,487,8,1449,5917,191,138,113,40,102,18,0,58
9722,50,4,Student,Tier_1,2917,0,339,1249,529,345,284,407,391,847,144,8,776,2271,273,125,84,76,40,2,4,30
8636,41,1,Professional,Tier_2,1727,0,403,1168,494,299,408,571,349,843,218,7,574,2157,208,110,31,82,48,6,40,56
48716,27,0,Retired,Tier_2,9743,0,2356,6680,3186,2207,1510,2279,1995,0,1274,14,6965,17484,1029,911,429,216,540,6,0,70
10771,42,0,Professional,Tier_3,1616,0,359,1144,636,220,440,541,500,0,181,7,742,5136,283,72,53,108,51,11,0,14
122123,58,1,Student,Tier_3,18319,0,2975,15265,6540,5136,3346,9134,4087,9227,1517,20,24208,46577,1576,1314,453,414,2045,9,204,150
5673,27,3,Self_Employed,Tier_3,851,0,166,818,298,144,236,371,280,314,128,5,306,2067,214,17,20,25,77,9,12,26
116555,56,1,Professional,Tier_1,34966,6509,3686,12736,7181,3428,5576,8577,4794,9731,2030,20,17342,17342,707,627,577,1540,1455,223,291,470
35517,33,3,Professional,Tier_1,10655,0,1195,3680,2195,1420,765,2063,1330,2064,405,8,2737,9745,407,628,298,182,172,45,72,63
27766,45,4,Self_Employed,Tier_1,8330,0,1092,3137,1950,1231,1284,1930,1123,2189,616,8,2119,4885,272,557,67,377,315,30,2,111
19400,29,0,Self_Employed,Tier_2,3880,0,764,2041,1052,814,650,1010,950,0,242,9,1717,7997,455,133,94,170,244,17,0,23
41285,61,2,Student,Tier_1,12386,0,1499,4250,2544,1173,1057,1914,1377,3222,863,13,5558,11001,849,587,324,122,283,31,139,220
29110,49,1,Retired,Tier_2,5822,0,782,3238,1731,1036,790,1406,1182,2497,761,5,1550,9866,354,315,133,86,329,25,60,55
72518,46,2,Professional,Tier_2,14504,0,2241,8585,4670,2135,1680,5582,2519,6902,1650,13,9215,22049,1214,1254,527,144,1490,104,218,202
32871,62,4,Student,Tier_1,9861,0,1065,4509,2450,1114,932,2073,1107,2989,953,6,1838,5818,598,682,145,223,109,22,56,100
33833,44,1,Professional,Tier_2,6767,3016,1350,3508,2033,1300,1153,1631,1556,2512,804,7,2438,8203,199,428,187,119,455,22,40,154
22428,43,2,Student,Tier_1,6728,0,544,3335,1790,488,556,1073,752,1169,351,6,1351,5641,995,335,83,157,129,19,58,69
28664,20,4,Student,Tier_2,5733,0,781,2883,2247,1397,762,1900,1394,2590,445,9,2464,8532,502,529,95,166,165,18,120,133
38376,43,3,Self_Employed,Tier_1,11513,4041,1094,5385,2175,1399,815,2535,1343,1990,881,7,2849,5205,505,579,217,178,128,21,94,244
7637,56,4,Retired,Tier_3,1146,1321,272,766,500,254,185,542,283,427,184,10,742,1758,65,132,21,29,36,2,3,43
10203,18,1,Professional,Tier_3,1530,1716,436,1149,789,350,410,727,416,598,171,7,758,1912,85,227,85,108,175,15,18,38
54370,52,1,Retired,Tier_1,16311,0,2465,7973,3883,2449,2376,2413,2033,2873,1150,15,8047,10444,834,244,509,136,596,62,74,123
34394,44,1,Student,Tier_3,5159,3951,1454,4186,2621,810,1611,1556,1068,2187,803,7,2427,8988,228,505,60,100,127,39,109,103
25894,63,4,Self_Employed,Tier_2,5179,0,1099,3031,1916,1221,1014,1444,1267,1660,269,6,1503,7794,430,569,210,249,123,55,13,31
30446,21,1,Retired,Tier_2,6089,4723,829,4045,2089,821,1447,2254,1495,1642,684,8,2580,4328,379,493,151,131,361,48,38,91
39617,36,4,Self_Employed,Tier_2,7923,0,1844,5482,2763,1613,1279,1612,1545,3082,579,6,2568,11896,827,578,222,83,162,63,120,125
19480,39,0,Self_Employed,Tier_2,3896,0,420,2843,1125,715,889,1405,738,0,221,6,1100,7228,489,231,179,171,208,23,0,27
16096,23,0,Professional,Tier_2,3219,0,583,2343,895,690,410,700,704,0,447,6,989,6104,295,251,190,53,114,1,0,36
35089,26,0,Student,Tier_1,10527,0,795,4734,2356,862,1058,2488,1120,0,1043,6,2034,10106,966,160,226,137,614,28,0,251
13715,28,2,Professional,Tier_2,2743,1156,522,1403,721,610,547,619,651,844,218,9,1178,3682,401,138,110,159,64,30,5,42
41587,39,0,Professional,Tier_2,8317,0,891,4803,2395,1643,1740,3218,1337,0,529,15,6112,16715,776,324,453,141,541,3,0,27
7684,64,0,Retired,Tier_2,1537,0,301,884,524,333,197,507,290,0,206,8,644,2903,142,49,66,30,76,4,0,15
68342,26,4,Self_Employed,Tier_2,13668,0,1436,7932,3611,2368,2697,4366,2681,6778,740,12,8255,22064,633,411,414,447,1041,92,226,80
43784,46,4,Professional,Tier_1,13135,0,1093,4611,3015,1963,1982,3448,1544,3820,694,13,5591,8478,670,473,446,278,682,76,32,161
36819,60,1,Professional,Tier_3,5523,0,1569,3757,2430,1596,1095,2470,1340,3509,1100,6,2028,12430,884,628,390,200,536,17,99,127
65848,27,1,Student,Tier_3,9877,0,1915,7348,3564,1650,3005,4074,2895,4371,1264,10,6871,25884,1740,932,319,423,240,118,128,158
113702,51,1,Retired,Tier_1,34110,20875,5290,14688,7387,5572,3020,9057,3754,10220,1287,23,0,-1559,2882,1318,1217,322,593,149,17,188
67538,48,4,Retired,Tier_2,13508,0,1550,6764,4822,3320,3094,4944,2150,4789,1277,13,8902,21322,611,547,337,241,649,50,80,134
6879,39,4,Self_Employed,Tier_2,1376,407,247,993,461,340,338,510,216,454,185,10,671,1352,108,130,28,49,134,2,3,44
10778,63,0,Self_Employed,Tier_2,2156,0,515,1574,825,247,388,612,505,0,287,7,778,3668,340,155,13,23,98,23,0,54
18199,21,3,Retired,Tier_2,3640,0,590,2378,1428,772,839,736,607,959,478,6,1007,5772,224,73,53,128,129,8,27,39
30633,19,4,Retired,Tier_2,6127,0,914,3142,1866,1201,1156,1888,1265,1852,647,8,2338,10576,586,394,306,328,328,30,68,164
45391,22,3,Student,Tier_2,9078,4985,2223,6763,2624,2236,2156,2905,1949,4437,882,10,4724,5155,450,139,549,272,716,83,61,175
16787,63,4,Professional,Tier_2,3357,0,549,2198,1044,642,585,685,538,1397,486,7,1183,5306,648,290,149,121,35,3,67,124
34835,32,4,Student,Tier_2,6967,0,1427,4408,2223,1412,1309,1999,1457,2225,1024,7,2545,10383,413,653,130,273,138,38,5,97
16394,36,2,Student,Tier_2,3279,2810,780,2030,911,354,440,882,695,1325,349,7,1173,2538,115,96,72,90,118,17,13,37
18393,55,3,Retired,Tier_3,2759,2329,374,1960,1329,548,412,1018,643,1277,361,8,1438,5383,223,387,35,93,262,3,6,78
9736,32,2,Retired,Tier_2,1947,0,361,1362,754,379,452,667,486,953,149,8,755,2226,293,174,25,65,185,5,37,29
14334,63,0,Professional,Tier_1,4300,0,593,1789,921,416,602,1022,707,0,148,9,1286,3836,352,91,119,176,161,25,0,28
10174,25,2,Self_Employed,Tier_2,2035,0,331,1028,525,335,383,800,488,650,184,8,852,3416,116,71,62,91,147,7,28,17
13743,37,2,Retired,Tier_2,2749,0,552,1479,1093,627,407,890,435,1185,197,9,1234,4129,191,298,84,107,73,7,18,56
69694,29,0,Student,Tier_2,13939,11991,3080,7967,4205,3421,1597,5063,2770,0,1438,12,8600,14223,513,1226,348,183,1357,39,0,384
14037,21,3,Professional,Tier_2,2807,1052,414,2045,794,694,609,725,488,1347,192,6,883,2870,192,122,114,40,40,1,17,12
246436,55,1,Self_Employed,Tier_2,49287,0,7318,30306,15118,8658,7430,11153,9930,21834,2532,22,53498,82869,2020,814,1599,983,2483,237,685,204
44516,60,4,Student,Tier_3,6677,3908,1008,6545,2840,1507,1049,2711,1638,3875,500,12,5255,12258,1051,515,187,185,273,7,180,60
34781,56,3,Student,Tier_1,10434,0,1692,3956,2051,1147,1023,2065,1680,1795,375,6,1953,8562,413,429,307,194,106,6,73,22
15097,53,0,Self_Employed,Tier_2,3019,0,317,2253,953,303,560,1036,633,0,443,7,1019,5580,215,119,88,66,70,28,0,120
52533,32,2,Student,Tier_2,10507,0,1793,7762,4090,2026,2093,2905,2365,4188,585,12,6202,14219,2045,561,595,570,488,73,82,49
18929,18,1,Student,Tier_3,2839,0,681,2567,1303,413,561,909,910,1293,519,7,1324,6933,582,233,106,78,90,30,2,93
33076,48,2,Professional,Tier_3,4961,0,801,4559,1974,1571,1479,1923,1307,2973,537,9,2990,10989,764,251,264,115,424,12,4,40
232587,26,4,Student,Tier_2,46517,25547,8071,23541,11681,6960,9578,14179,8787,12358,3359,20,46943,62009,6427,3105,390,748,1248,344,172,451
27781,40,0,Student,Tier_2,5556,4969,801,3098,1899,983,847,1758,1060,0,361,8,2192,6449,876,405,283,104,435,11,0,90
75235,43,1,Professional,Tier_1,22570,0,3316,8257,4665,3546,3556,4756,2822,4237,1406,10,7886,16102,1545,638,534,566,1170,34,110,259
17093,57,3,Professional,Tier_2,3419,0,764,2529,1094,705,343,1146,808,1000,352,6,995,4933,420,150,36,26,322,24,5,39
29172,61,3,Self_Employed,Tier_2,5834,0,962,3513,2222,695,1358,1281,1324,2205,406,9,2662,9371,829,515,137,356,147,61,92,83
123697,56,0,Self_Employed,Tier_3,18555,0,4086,16091,7846,5043,4937,7798,4393,0,3018,25,30555,51930,2703,1389,954,1333,1610,195,0,357
18167,35,0,Self_Employed,Tier_1,5450,0,405,2062,984,688,728,1417,597,0,335,10,1793,5502,339,199,161,122,239,3,0,53
127888,50,2,Professional,Tier_1,38366,0,3928,14417,8471,5578,5407,8821,3929,9290,3835,22,25844,25844,2745,1343,781,1303,512,179,67,796
52847,58,1,Student,Tier_2,10569,0,1700,6392,3761,1187,1470,3817,1987,3485,1436,14,7444,17044,1488,515,77,387,333,18,93,158
19129,56,4,Student,Tier_2,3826,0,639,2217,1129,933,782,783,846,1129,249,6,1077,6599,419,104,64,93,81,32,12,26
49756,31,0,Student,Tier_2,9951,0,1671,6845,2860,1088,1449,2606,2367,0,713,11,5452,20206,827,177,227,388,715,37,0,201
65316,18,1,Student,Tier_1,19595,12644,1487,8564,3998,2223,1801,3757,2475,5584,1468,14,1721,1721,1604,599,578,430,1088,79,31,404
49336,30,0,Professional,Tier_2,9867,2887,1228,6645,3051,2009,1421,3933,1618,0,1194,14,6736,15482,389,347,462,322,852,77,0,214
8542,32,0,Retired,Tier_1,2563,1632,282,1085,474,356,223,452,306,0,208,7,610,961,174,42,68,26,25,9,0,38
16768,54,3,Self_Employed,Tier_3,2515,0,526,2434,1158,468,726,1297,642,1039,453,6,927,5510,348,167,92,38,359,21,9,27
24611,22,1,Retired,Tier_3,3692,0,597,2541,1801,966,1202,1217,862,2300,408,8,1964,9026,404,463,272,279,217,14,75,27
28266,31,3,Self_Employed,Tier_1,8480,4374,1115,3886,1938,609,630,1753,956,2158,406,9,1959,1959,1089,429,81,127,454,22,37,87
49291,31,3,Self_Employed,Tier_2,9858,0,1160,5521,3209,1496,1778,2323,1507,3711,800,12,5712,17929,614,901,111,164,309,53,181,129
34583,63,1,Professional,Tier_3,5187,0,697,4536,2324,1660,1423,1590,1236,2028,441,5,1773,13461,1331,123,407,187,105,43,56,102
10308,22,3,Self_Employed,Tier_2,2062,0,396,1508,674,348,294,426,415,605,203,8,784,3378,439,117,51,60,103,16,18,28
40665,28,2,Professional,Tier_2,8133,4985,914,4698,2599,1857,1209,2326,1824,3879,751,12,4824,7489,1030,281,516,234,257,87,109,156
48895,49,4,Retired,Tier_1,14668,0,1067,7246,2486,1192,1257,2690,1689,4341,1062,13,6134,11197,550,640,86,177,185,21,162,98
46947,22,4,Student,Tier_1,14084,4064,1060,5108,3109,1581,1419,2625,2150,3509,1135,12,5684,7103,774,198,306,375,747,45,19,142
71223,53,2,Retired,Tier_3,10684,0,3425,10524,3721,2729,2449,3091,2668,4911,2008,14,9629,25013,2003,630,210,667,240,51,2,481
58460,32,0,Retired,Tier_2,11692,0,1354,5967,3882,1715,1366,2614,2615,0,965,12,7241,26289,664,974,351,174,246,65,0,117
43317,24,3,Professional,Tier_3,6498,4010,1957,5043,2811,2139,1055,3098,2134,3281,652,10,4523,10639,1302,752,542,314,502,56,75,119
28362,22,4,Professional,Tier_2,5672,0,1228,3827,2145,1000,798,1454,1195,1683,722,8,2231,8638,538,481,266,184,143,3,49,166
7944,47,1,Self_Employed,Tier_1,2383,0,359,1130,495,225,201,383,318,528,127,10,786,1794,221,82,62,24,86,8,8,30
42304,32,0,Student,Tier_2,8461,0,1614,4584,3325,1688,2065,1710,1870,0,910,10,4305,16079,451,602,304,267,249,12,0,260
35423,47,4,Retired,Tier_3,5313,0,873,5197,2258,1608,735,2683,1352,1936,949,9,3197,12517,1286,256,355,113,169,38,89,107
37280,31,3,Retired,Tier_1,11184,0,1608,4020,2925,1109,1006,1802,1749,3668,736,8,2902,7474,536,480,317,211,426,36,80,164
10803,41,4,Professional,Tier_1,3241,0,399,1549,591,362,331,686,325,813,261,9,943,2245,297,137,39,34,156,15,25,60
12634,41,3,Professional,Tier_1,3790,1890,468,1822,963,612,538,700,450,1062,311,5,27,27,500,258,92,70,102,9,31,45
69667,52,0,Professional,Tier_1,20900,0,2666,9537,5112,1680,2135,4744,3469,0,1837,13,8745,17587,2659,1439,396,639,331,33,0,146
29066,22,2,Retired,Tier_1,8720,3286,711,4201,1665,748,1037,1629,899,2391,481,10,2845,3297,335,367,63,307,295,10,90,144
51749,29,3,Professional,Tier_3,7762,2831,1487,5390,4134,2585,1108,3238,2244,3977,764,10,5270,16228,547,931,534,151,191,53,61,117
30687,37,3,Self_Employed,Tier_1,9206,5981,1528,4489,1775,1017,912,2351,1527,2462,615,7,0,-1177,896,132,218,144,597,14,10,134
30723,63,0,Self_Employed,Tier_3,4608,4604,1420,3785,1994,1130,1321,1783,1536,0,866,8,2436,7677,744,143,243,172,151,44,0,185
63550,22,0,Self_Employed,Tier_2,12710,0,1956,7294,4559,2252,2703,3224,2088,0,638,11,7266,26127,1169,1158,257,696,857,58,0,157
19853,53,1,Student,Tier_2,3971,0,985,1991,995,773,642,1406,872,1799,207,6,1229,6212,371,86,107,151,174,26,17,45
32398,38,0,Self_Employed,Tier_2,6480,0,716,4164,1958,1083,1394,2546,1531,0,783,6,2039,11743,592,368,128,254,383,25,0,102
20726,56,4,Professional,Tier_2,4145,0,631,2137,1391,633,674,1529,953,1920,369,6,1146,6341,606,303,177,84,225,14,31,106
21192,20,3,Professional,Tier_2,4238,0,777,2132,1438,662,649,1637,907,1916,518,6,1218,6317,144,360,52,175,426,5,35,84
23426,46,2,Retired,Tier_2,4685,3944,905,2832,1708,905,588,1548,1017,1575,625,9,2162,3094,180,327,62,116,133,10,29,121
35834,42,0,Student,Tier_2,7167,0,1582,3692,2375,1182,1009,1481,1411,0,583,5,1910,15352,1019,352,60,264,358,2,0,94
20454,44,3,Student,Tier_1,6136,2996,861,2911,1630,668,719,983,922,1585,478,7,564,564,516,415,173,207,76,18,24,76
81925,53,2,Professional,Tier_2,16385,0,3329,8380,5698,2435,3377,4038,2900,7915,1730,14,11878,25737,1963,510,156,982,872,56,386,215
14666,39,1,Retired,Tier_2,2933,0,722,1879,1019,656,326,720,667,1139,359,8,1196,4246,344,221,56,93,138,7,33,78
